source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2014-08,rr_type,DS,64,20,20,1
afrinic,reverse,2014-08,rr_type,NS,27624,27624,27624,1
afrinic,reverse,2014-08,rr_type,_total,27688,27624,27624,1
afrinic,reverse,2014-08,sha1_signing_ds,_total,64,20,20,1
afrinic,reverse,2014-08,sha1_signing_ds,other,64,20,20,1
afrinic,reverse,2014-09,algorithm_ds,8,101,57,57,1
afrinic,reverse,2014-09,algorithm_ds,_total,101,57,57,1
afrinic,reverse,2014-09,all,all,27757,27656,27656,1
afrinic,reverse,2014-09,digest_type_ds,1,32,20,20,1
afrinic,reverse,2014-09,digest_type_ds,2,69,57,57,1
afrinic,reverse,2014-09,digest_type_ds,_total,101,57,57,1
afrinic,reverse,2014-09,rr_type,DS,101,57,57,1
afrinic,reverse,2014-09,rr_type,NS,27656,27656,27656,1
afrinic,reverse,2014-09,rr_type,_total,27757,27656,27656,1
